"d1_code"	"d2_code"	"d1_name"	"d2_name"	"direction_yes_no"	"n_dir12"	"n_dir21"	"n_total"
"O36"	"J35"	"Maternal care for other fetal problems"	"Chronic diseases of tonsils and adenoids"	1	0	916	916
"I13"	"M16"	"Hypertensive heart and chronic kidney disease"	"Osteoarthritis of hip"	1	17	89	106
"I63"	"N63"	"Cerebral infarction"	"Unspecified lump in breast"	1	54	534	588
"K59"	"O14"	"Other functional intestinal disorders"	"Pre-eclampsia"	1	108	307	415
"K61"	"O64"	"Abscess of anal and rectal regions"	"Obstructed labor due to malposition and malpresent of fetus"	1	26	99	125
"N19"	"I69"	"Unspecified kidney failure"	"Sequelae of cerebrovascular disease"	1	1567	2018	3585
"N25"	"E11"	"Disorders resulting from impaired renal tubular function"	"Type 2 diabetes mellitus"	1	88	298	386
"C25"	"G51"	"Malignant neoplasm of pancreas"	"Facial nerve disorders"	1	2	41	43
"G44"	"H80"	"Other headache syndromes"	"Otosclerosis"	1	14	77	91
"C34"	"I35"	"Malignant neoplasm of bronchus and lung"	"Nonrheumatic aortic valve disorders"	1	529	1217	1746
"N94"	"O62"	"Pain and oth cond assoc w fem gntl org and menstrual cycle"	"Abnormalities of forces of labor"	1	0	4658	4658
"M79"	"Q82"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other congenital malformations of skin"	1	177	369	546
"J98"	"C62"	"Other respiratory disorders"	"Malignant neoplasm of testis"	1	1	36	37
"O24"	"O20"	"Diabetes in pregnancy, childbirth, and the puerperium"	"Hemorrhage in early pregnancy"	1	683	2708	3391
"M25"	"Q21"	"Other joint disorder, not elsewhere classified"	"Congenital malformations of cardiac septa"	1	11	100	111
"C34"	"K81"	"Malignant neoplasm of bronchus and lung"	"Cholecystitis"	1	85	420	505
"G95"	"N43"	"Other and unspecified diseases of spinal cord"	"Hydrocele and spermatocele"	1	3	89	92
"J15"	"N93"	"Bacterial pneumonia, not elsewhere classified"	"Other abnormal uterine and vaginal bleeding"	1	56	141	197
"I69"	"N94"	"Sequelae of cerebrovascular disease"	"Pain and oth cond assoc w fem gntl org and menstrual cycle"	1	12	210	222
"E34"	"Q21"	"Other endocrine disorders"	"Congenital malformations of cardiac septa"	1	5	195	200
"I74"	"H10"	"Arterial embolism and thrombosis"	"Conjunctivitis"	1	15	87	102
"C78"	"M10"	"Secondary malignant neoplasm of resp and digestive organs"	"Gout"	1	88	556	644
"L82"	"E78"	"Seborrheic keratosis"	"Disorders of lipoprotein metabolism and other lipidemias"	1	230	408	638
"K92"	"G62"	"Other diseases of digestive system"	"Other and unspecified polyneuropathies"	1	584	782	1366
"M48"	"H36"	"Other spondylopathies"	"Retinal disorders in diseases classified elsewhere"	1	274	439	713
"I08"	"K04"	"Multiple valve diseases"	"Diseases of pulp and periapical tissues"	1	32	110	142
"C64"	"M23"	"Malignant neoplasm of kidney, except renal pelvis"	"Internal derangement of knee"	1	12	314	326
"C45"	"K40"	"Mesothelioma"	"Inguinal hernia"	1	0	129	129
"K86"	"M51"	"Other diseases of pancreas"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	1	168	530	698
"I47"	"O14"	"Paroxysmal tachycardia"	"Pre-eclampsia"	1	49	140	189
"I74"	"K80"	"Arterial embolism and thrombosis"	"Cholelithiasis"	1	172	371	543
"I89"	"D25"	"Oth noninfective disorders of lymphatic vessels and nodes"	"Leiomyoma of uterus"	1	12	198	210
"I83"	"L05"	"Varicose veins of lower extremities"	"Pilonidal cyst and sinus"	1	30	203	233
"K57"	"K60"	"Diverticular disease of intestine"	"Fissure and fistula of anal and rectal regions"	1	678	950	1628
"M54"	"O48"	"Dorsalgia"	"Late pregnancy"	1	103	1268	1371
"M80"	"M77"	"Osteoporosis with current pathological fracture"	"Other enthesopathies"	1	29	360	389
"M54"	"D25"	"Dorsalgia"	"Leiomyoma of uterus"	1	1609	2415	4024
"J96"	"D23"	"Respiratory failure, not elsewhere classified"	"Other benign neoplasms of skin"	1	94	898	992
"K52"	"N85"	"Other and unsp noninfective gastroenteritis and colitis"	"Other noninflammatory disorders of uterus, except cervix"	1	25	100	125
"K25"	"M72"	"Gastric ulcer"	"Fibroblastic disorders"	1	230	457	687
"O72"	"K51"	"Postpartum hemorrhage"	"Ulcerative colitis"	1	309	1034	1343
"C01"	"K70"	"Malignant neoplasm of base of tongue"	"Alcoholic liver disease"	1	2	43	45
"L28"	"K40"	"Lichen simplex chronicus and prurigo"	"Inguinal hernia"	1	39	119	158
"G62"	"C62"	"Other and unspecified polyneuropathies"	"Malignant neoplasm of testis"	1	3	78	81
"E55"	"I70"	"Vitamin D deficiency"	"Atherosclerosis"	1	248	500	748
"K74"	"J30"	"Fibrosis and cirrhosis of liver"	"Vasomotor and allergic rhinitis"	1	0	40	40
"I35"	"K11"	"Nonrheumatic aortic valve disorders"	"Diseases of salivary glands"	1	56	181	237
"N31"	"M50"	"Neuromuscular dysfunction of bladder, NEC"	"Cervical disc disorders"	1	156	296	452
"C01"	"M54"	"Malignant neoplasm of base of tongue"	"Dorsalgia"	1	6	44	50
"I73"	"O02"	"Other peripheral vascular diseases"	"Other abnormal products of conception"	1	12	74	86
"F17"	"O03"	"Nicotine dependence"	"Spontaneous abortion"	1	6	798	804
"C73"	"O75"	"Malignant neoplasm of thyroid gland"	"Oth complications of labor and delivery, NEC"	1	1	29	30
"M67"	"Q54"	"Other disorders of synovium and tendon"	"Hypospadias"	1	11	72	83
"C56"	"O68"	"Malignant neoplasm of ovary"	"Labor and delivery comp by abnlt of fetal acid-base balance"	1	1	42	43
"I69"	"H27"	"Sequelae of cerebrovascular disease"	"Other disorders of lens"	1	21	299	320
"E55"	"C20"	"Vitamin D deficiency"	"Malignant neoplasm of rectum"	1	27	98	125
"K59"	"I45"	"Other functional intestinal disorders"	"Other conduction disorders"	1	447	857	1304
"I44"	"Q21"	"Atrioventricular and left bundle-branch block"	"Congenital malformations of cardiac septa"	1	75	177	252
"O03"	"B27"	"Spontaneous abortion"	"Infectious mononucleosis"	1	0	130	130
"C10"	"M70"	"Malignant neoplasm of oropharynx"	"Soft tissue disorders related to use, overuse and pressure"	1	1	37	38
"K62"	"O21"	"Other diseases of anus and rectum"	"Excessive vomiting in pregnancy"	1	36	153	189
"I80"	"M54"	"Phlebitis and thrombophlebitis"	"Dorsalgia"	1	2158	3159	5317
"D64"	"N87"	"Other anemias"	"Dysplasia of cervix uteri"	1	44	343	387
"K56"	"H33"	"Paralytic ileus and intestinal obstruction without hernia"	"Retinal detachments and breaks"	1	70	197	267
"I25"	"H90"	"Chronic ischemic heart disease"	"Conductive and sensorineural hearing loss"	1	1989	3113	5102
"K80"	"K01"	"Cholelithiasis"	"Embedded and impacted teeth"	1	49	190	239
"H02"	"K80"	"Other disorders of eyelid"	"Cholelithiasis"	1	559	1107	1666
"M15"	"O80"	"Polyosteoarthritis"	"Encounter for full-term uncomplicated delivery"	1	0	48	48
"N21"	"O80"	"Calculus of lower urinary tract"	"Encounter for full-term uncomplicated delivery"	1	46	119	165
"N85"	"N87"	"Other noninflammatory disorders of uterus, except cervix"	"Dysplasia of cervix uteri"	1	83	236	319
"C16"	"N63"	"Malignant neoplasm of stomach"	"Unspecified lump in breast"	1	1	39	40
"L89"	"F31"	"Pressure ulcer"	"Bipolar disorder"	1	50	121	171
"O34"	"L68"	"Maternal care for abnormality of pelvic organs"	"Hypertrichosis"	1	43	126	169
"I47"	"H83"	"Paroxysmal tachycardia"	"Other diseases of inner ear"	1	272	733	1005
"J09"	"N04"	"Influenza due to certain identified influenza viruses"	"Nephrotic syndrome"	1	0	25	25
"J15"	"K09"	"Bacterial pneumonia, not elsewhere classified"	"Cysts of oral region, not elsewhere classified"	1	20	111	131
"N13"	"N62"	"Obstructive and reflux uropathy"	"Hypertrophy of breast"	1	66	141	207
"C71"	"M20"	"Malignant neoplasm of brain"	"Acquired deformities of fingers and toes"	1	6	109	115
"H36"	"K80"	"Retinal disorders in diseases classified elsewhere"	"Cholelithiasis"	1	301	580	881
"I69"	"N60"	"Sequelae of cerebrovascular disease"	"Benign mammary dysplasia"	1	3	389	392
"D70"	"C56"	"Neutropenia"	"Malignant neoplasm of ovary"	1	13	94	107
"E86"	"N47"	"Volume depletion"	"Disorders of prepuce"	1	487	855	1342
"A04"	"O04"	"Other bacterial intestinal infections"	"Complications following (induced) termination of pregnancy"	1	25	222	247
"E66"	"O62"	"Overweight and obesity"	"Abnormalities of forces of labor"	1	10154	14115	24269
"Q23"	"M51"	"Congenital malformations of aortic and mitral valves"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	1	9	69	78
"K91"	"J30"	"Intraop and postproc comp and disorders of dgstv sys, NEC"	"Vasomotor and allergic rhinitis"	1	8	44	52
"I69"	"M70"	"Sequelae of cerebrovascular disease"	"Soft tissue disorders related to use, overuse and pressure"	1	371	1223	1594
"E04"	"O65"	"Other nontoxic goiter"	"Obstructed labor due to maternal pelvic abnormality"	1	0	373	373
"A49"	"O66"	"Bacterial infection of unspecified site"	"Other obstructed labor"	1	3	36	39
"N64"	"Q17"	"Other disorders of breast"	"Other congenital malformations of ear"	1	3	91	94
"M85"	"I47"	"Other disorders of bone density and structure"	"Paroxysmal tachycardia"	1	122	751	873
"O90"	"E10"	"Complications of the puerperium, not elsewhere classified"	"Type 1 diabetes mellitus"	1	15	71	86
"D25"	"O90"	"Leiomyoma of uterus"	"Complications of the puerperium, not elsewhere classified"	1	16	168	184
"K76"	"L05"	"Other diseases of liver"	"Pilonidal cyst and sinus"	1	17	62	79
"M17"	"O82"	"Osteoarthritis of knee"	"Encounter for cesarean delivery without indication"	1	0	602	602
"C39"	"C34"	"Malig neoplm of sites in the resp sys and intrathorac organs"	"Malignant neoplasm of bronchus and lung"	1	124	255	379
"K59"	"F48"	"Other functional intestinal disorders"	"Other nonpsychotic mental disorders"	1	87	180	267
"O23"	"G40"	"Infections of genitourinary tract in pregnancy"	"Epilepsy and recurrent seizures"	1	42	206	248
"A38"	"J18"	"Scarlet fever"	"Pneumonia, unspecified organism"	1	72	148	220
"A40"	"K30"	"Streptococcal sepsis"	"Functional dyspepsia"	1	27	136	163
"C61"	"K42"	"Malignant neoplasm of prostate"	"Umbilical hernia"	1	128	477	605
"O70"	"L03"	"Perineal laceration during delivery"	"Cellulitis and acute lymphangitis"	1	248	489	737
"E87"	"L98"	"Other disorders of fluid, electrolyte and acid-base balance"	"Oth disorders of skin, subcu, not elsewhere classified"	1	656	927	1583
"J69"	"C44"	"Pneumonitis due to solids and liquids"	"Other and unspecified malignant neoplasm of skin"	1	45	400	445
"K76"	"O99"	"Other diseases of liver"	"Oth maternal diseases classd elsw but compl preg/chldbrth"	1	99	338	437
"O32"	"G40"	"Maternal care for malpresentation of fetus"	"Epilepsy and recurrent seizures"	1	57	143	200
"I80"	"M62"	"Phlebitis and thrombophlebitis"	"Other disorders of muscle"	1	890	2387	3277
"I63"	"C43"	"Cerebral infarction"	"Malignant melanoma of skin"	1	215	396	611
"C78"	"G00"	"Secondary malignant neoplasm of resp and digestive organs"	"Bacterial meningitis, not elsewhere classified"	1	11	62	73
"C76"	"I70"	"Malignant neoplasm of other and ill-defined sites"	"Atherosclerosis"	1	67	161	228
"M86"	"L03"	"Osteomyelitis"	"Cellulitis and acute lymphangitis"	1	284	565	849
"O91"	"N87"	"Infect of breast assoc w pregnancy, the puerp and lactation"	"Dysplasia of cervix uteri"	1	106	194	300
"F52"	"M23"	"Sexual dysfnct not due to a substance or known physiol cond"	"Internal derangement of knee"	1	85	200	285
"A41"	"G56"	"Other sepsis"	"Mononeuropathies of upper limb"	1	0	2598	2598
"I46"	"I72"	"Cardiac arrest"	"Other aneurysm"	1	62	179	241
"C41"	"M51"	"Malignant neoplasm of bone/artic cartl of and unsp sites"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	1	37	114	151
"N39"	"A46"	"Other disorders of urinary system"	"Erysipelas"	1	2838	3734	6572
"O41"	"N97"	"Other disorders of amniotic fluid and membranes"	"Female infertility"	1	247	1530	1777
"E46"	"M16"	"Unspecified protein-calorie malnutrition"	"Osteoarthritis of hip"	1	0	89	89
"N95"	"O02"	"Menopausal and other perimenopausal disorders"	"Other abnormal products of conception"	1	0	60	60
"E23"	"C71"	"Hypofunction and other disorders of the pituitary gland"	"Malignant neoplasm of brain"	1	91	243	334
"H26"	"H52"	"Other cataract"	"Disorders of refraction and accommodation"	1	1883	2448	4331
"G35"	"O30"	"Multiple sclerosis"	"Multiple gestation"	1	10	49	59
"N94"	"O20"	"Pain and oth cond assoc w fem gntl org and menstrual cycle"	"Hemorrhage in early pregnancy"	1	488	1457	1945
"I21"	"O26"	"Acute myocardial infarction"	"Maternal care for oth conditions predom related to pregnancy"	1	0	60	60
"H54"	"M75"	"Blindness and low vision"	"Shoulder lesions"	1	129	307	436
"J94"	"D17"	"Other pleural conditions"	"Benign lipomatous neoplasm"	1	12	85	97
"G50"	"O64"	"Disorders of trigeminal nerve"	"Obstructed labor due to malposition and malpresent of fetus"	1	0	31	31
"M17"	"N96"	"Osteoarthritis of knee"	"Recurrent pregnancy loss"	1	0	26	26
"A46"	"I25"	"Erysipelas"	"Chronic ischemic heart disease"	1	2789	4661	7450
"L72"	"O02"	"Follicular cysts of skin and subcutaneous tissue"	"Other abnormal products of conception"	1	8	127	135
"M81"	"J41"	"Osteoporosis without current pathological fracture"	"Simple and mucopurulent chronic bronchitis"	1	321	635	956
"K52"	"K21"	"Other and unsp noninfective gastroenteritis and colitis"	"Gastro-esophageal reflux disease"	1	1230	2144	3374
"K92"	"K35"	"Other diseases of digestive system"	"Acute appendicitis"	1	268	749	1017
"M48"	"M42"	"Other spondylopathies"	"Spinal osteochondrosis"	1	165	331	496
"K92"	"H18"	"Other diseases of digestive system"	"Other disorders of cornea"	1	113	207	320
"K59"	"I83"	"Other functional intestinal disorders"	"Varicose veins of lower extremities"	1	0	4256	4256
"M81"	"L93"	"Osteoporosis without current pathological fracture"	"Lupus erythematosus"	1	56	168	224
"E06"	"E10"	"Thyroiditis"	"Type 1 diabetes mellitus"	1	98	198	296
"L02"	"K35"	"Cutaneous abscess, furuncle and carbuncle"	"Acute appendicitis"	1	617	1524	2141
"J44"	"L91"	"Other chronic obstructive pulmonary disease"	"Hypertrophic disorders of skin"	1	7	43	50
"H54"	"O70"	"Blindness and low vision"	"Perineal laceration during delivery"	1	26	77	103
"K83"	"O82"	"Other diseases of biliary tract"	"Encounter for cesarean delivery without indication"	1	27	199	226
"H25"	"J32"	"Age-related cataract"	"Chronic sinusitis"	1	202	845	1047
"I49"	"O24"	"Other cardiac arrhythmias"	"Diabetes in pregnancy, childbirth, and the puerperium"	1	15	74	89
"I70"	"L05"	"Atherosclerosis"	"Pilonidal cyst and sinus"	1	25	85	110
"D64"	"N94"	"Other anemias"	"Pain and oth cond assoc w fem gntl org and menstrual cycle"	1	176	372	548
"N08"	"H91"	"Glomerular disorders in diseases classified elsewhere"	"Other and unspecified hearing loss"	1	16	91	107
"M67"	"O70"	"Other disorders of synovium and tendon"	"Perineal laceration during delivery"	1	1320	1642	2962
"H57"	"A63"	"Other disorders of eye and adnexa"	"Oth predominantly sexually transmitted diseases, NEC"	1	24	142	166
"O48"	"A63"	"Late pregnancy"	"Oth predominantly sexually transmitted diseases, NEC"	1	79	489	568
"C09"	"E11"	"Malignant neoplasm of tonsil"	"Type 2 diabetes mellitus"	1	42	104	146
"M48"	"F10"	"Other spondylopathies"	"Alcohol related disorders"	1	541	1421	1962
"J36"	"J45"	"Peritonsillar abscess"	"Asthma"	1	196	353	549
"N99"	"N80"	"Intraop and postproc comp and disorders of GU sys, NEC"	"Endometriosis"	1	249	620	869
"D75"	"M20"	"Other and unsp diseases of blood and blood-forming organs"	"Acquired deformities of fingers and toes"	1	28	89	117
"E73"	"O62"	"Lactose intolerance"	"Abnormalities of forces of labor"	1	26	205	231
"M51"	"D25"	"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"	"Leiomyoma of uterus"	1	971	1737	2708
"E64"	"K25"	"Sequelae of malnutrition and other nutritional deficiencies"	"Gastric ulcer"	1	198	548	746
"E53"	"M23"	"Deficiency of other B group vitamins"	"Internal derangement of knee"	1	7	166	173
"K62"	"M95"	"Other diseases of anus and rectum"	"Oth acquired deformities of ms sys and connective tissue"	1	66	181	247
"N97"	"N91"	"Female infertility"	"Absent, scanty and rare menstruation"	1	675	895	1570
"J18"	"N97"	"Pneumonia, unspecified organism"	"Female infertility"	1	79	847	926
"O36"	"Q66"	"Maternal care for other fetal problems"	"Congenital deformities of feet"	1	16	67	83
"M07"	"L02"	"Enteropathic arthropathies"	"Cutaneous abscess, furuncle and carbuncle"	1	85	214	299
"A41"	"N62"	"Other sepsis"	"Hypertrophy of breast"	1	108	615	723
"M48"	"D39"	"Other spondylopathies"	"Neoplasm of uncertain behavior of female genital organs"	1	7	41	48
"G47"	"M24"	"Sleep disorders"	"Other specific joint derangements"	1	102	554	656
"N64"	"O42"	"Other disorders of breast"	"Premature rupture of membranes"	1	347	841	1188
"C71"	"K25"	"Malignant neoplasm of brain"	"Gastric ulcer"	1	49	132	181
"K83"	"I20"	"Other diseases of biliary tract"	"Angina pectoris"	1	222	1203	1425
"C77"	"N83"	"Secondary and unspecified malignant neoplasm of lymph nodes"	"Noninflammatory disord of ovary, fallop and broad ligament"	1	55	265	320
"J93"	"H83"	"Pneumothorax and air leak"	"Other diseases of inner ear"	1	12	217	229
"D68"	"I34"	"Other coagulation defects"	"Nonrheumatic mitral valve disorders"	1	123	353	476
"C38"	"I70"	"Malignant neoplasm of heart, mediastinum and pleura"	"Atherosclerosis"	1	7	67	74
"A04"	"N43"	"Other bacterial intestinal infections"	"Hydrocele and spermatocele"	1	11	118	129
"N19"	"D23"	"Unspecified kidney failure"	"Other benign neoplasms of skin"	1	91	237	328
"D12"	"M75"	"Benign neoplasm of colon, rectum, anus and anal canal"	"Shoulder lesions"	1	0	7077	7077
"E23"	"C91"	"Hypofunction and other disorders of the pituitary gland"	"Lymphoid leukemia"	1	0	72	72
"C78"	"Q54"	"Secondary malignant neoplasm of resp and digestive organs"	"Hypospadias"	1	0	29	29
"M23"	"D24"	"Internal derangement of knee"	"Benign neoplasm of breast"	1	578	1097	1675
"M19"	"O86"	"Other and unspecified osteoarthritis"	"Other puerperal infections"	1	0	34	34
"O34"	"N62"	"Maternal care for abnormality of pelvic organs"	"Hypertrophy of breast"	1	33	130	163
"I35"	"M35"	"Nonrheumatic aortic valve disorders"	"Other systemic involvement of connective tissue"	1	459	1411	1870
"O36"	"B07"	"Maternal care for other fetal problems"	"Viral warts"	1	4	64	68
"C17"	"E78"	"Malignant neoplasm of small intestine"	"Disorders of lipoprotein metabolism and other lipidemias"	1	47	136	183
"I73"	"A69"	"Other peripheral vascular diseases"	"Other spirochetal infections"	1	8	45	53
"N50"	"J03"	"Other and unspecified disorders of male genital organs"	"Acute tonsillitis"	1	83	207	290
"H43"	"K60"	"Disorders of vitreous body"	"Fissure and fistula of anal and rectal regions"	1	27	119	146
"O44"	"M22"	"Placenta previa"	"Disorder of patella"	1	0	67	67
"D61"	"M50"	"Oth aplastic anemias and other bone marrow failure syndromes"	"Cervical disc disorders"	1	3	31	34
"J06"	"O80"	"Acute upper resp infections of multiple and unsp sites"	"Encounter for full-term uncomplicated delivery"	1	0	898	898
"J18"	"H53"	"Pneumonia, unspecified organism"	"Visual disturbances"	1	1375	2115	3490
"G62"	"E10"	"Other and unspecified polyneuropathies"	"Type 1 diabetes mellitus"	1	458	1206	1664
"O13"	"J45"	"Gestational hypertension without significant proteinuria"	"Asthma"	1	143	269	412
"I33"	"M79"	"Acute and subacute endocarditis"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	108	236	344
"J91"	"C64"	"Pleural effusion in conditions classified elsewhere"	"Malignant neoplasm of kidney, except renal pelvis"	1	89	187	276
"G56"	"N88"	"Mononeuropathies of upper limb"	"Other noninflammatory disorders of cervix uteri"	1	22	83	105
"L90"	"H80"	"Atrophic disorders of skin"	"Otosclerosis"	1	3	50	53
"D68"	"I65"	"Other coagulation defects"	"Occls and stenosis of precerb art, not rslt in cereb infrc"	1	43	137	180
"J13"	"C50"	"Pneumonia due to Streptococcus pneumoniae"	"Malignant neoplasm of breast"	1	47	119	166
"N39"	"K60"	"Other disorders of urinary system"	"Fissure and fistula of anal and rectal regions"	1	333	829	1162
"A41"	"H83"	"Other sepsis"	"Other diseases of inner ear"	1	0	1377	1377
"I48"	"C54"	"Atrial fibrillation and flutter"	"Malignant neoplasm of corpus uteri"	1	252	760	1012
"E70"	"L02"	"Disorders of aromatic amino-acid metabolism"	"Cutaneous abscess, furuncle and carbuncle"	1	21	67	88
"K25"	"L03"	"Gastric ulcer"	"Cellulitis and acute lymphangitis"	1	216	405	621
"M46"	"N87"	"Other inflammatory spondylopathies"	"Dysplasia of cervix uteri"	1	12	88	100
"C24"	"H35"	"Malignant neoplasm of other and unsp parts of biliary tract"	"Other retinal disorders"	1	19	128	147
"I70"	"D23"	"Atherosclerosis"	"Other benign neoplasms of skin"	1	320	465	785
"C22"	"H43"	"Malignant neoplasm of liver and intrahepatic bile ducts"	"Disorders of vitreous body"	1	3	50	53
"J69"	"I67"	"Pneumonitis due to solids and liquids"	"Other cerebrovascular diseases"	1	38	148	186
"G96"	"J32"	"Other disorders of central nervous system"	"Chronic sinusitis"	1	55	275	330
"M05"	"K40"	"Rheumatoid arthritis with rheumatoid factor"	"Inguinal hernia"	1	263	426	689
"D50"	"M79"	"Iron deficiency anemia"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	895	1813	2708
"I48"	"M99"	"Atrial fibrillation and flutter"	"Biomechanical lesions, not elsewhere classified"	1	323	657	980
"O47"	"N96"	"False labor"	"Recurrent pregnancy loss"	1	193	402	595
"N85"	"N97"	"Other noninflammatory disorders of uterus, except cervix"	"Female infertility"	1	146	348	494
"J86"	"O04"	"Pyothorax"	"Complications following (induced) termination of pregnancy"	1	4	53	57
"D84"	"H65"	"Other immunodeficiencies"	"Nonsuppurative otitis media"	1	89	232	321
"H57"	"H25"	"Other disorders of eye and adnexa"	"Age-related cataract"	1	1429	2214	3643
"I46"	"G62"	"Cardiac arrest"	"Other and unspecified polyneuropathies"	1	79	579	658
"L57"	"H90"	"Skin changes due to chronic expsr to nonionizing radiation"	"Conductive and sensorineural hearing loss"	1	71	294	365
"E64"	"C77"	"Sequelae of malnutrition and other nutritional deficiencies"	"Secondary and unspecified malignant neoplasm of lymph nodes"	1	172	372	544
"H18"	"K80"	"Other disorders of cornea"	"Cholelithiasis"	1	139	286	425
"I51"	"K62"	"Complications and ill-defined descriptions of heart disease"	"Other diseases of anus and rectum"	1	377	611	988
"E87"	"I80"	"Other disorders of fluid, electrolyte and acid-base balance"	"Phlebitis and thrombophlebitis"	1	755	2371	3126
"C90"	"D17"	"Multiple myeloma and malignant plasma cell neoplasms"	"Benign lipomatous neoplasm"	1	5	68	73
"C18"	"I25"	"Malignant neoplasm of colon"	"Chronic ischemic heart disease"	1	2075	3080	5155
"N19"	"N62"	"Unspecified kidney failure"	"Hypertrophy of breast"	1	74	181	255
"M07"	"J30"	"Enteropathic arthropathies"	"Vasomotor and allergic rhinitis"	1	15	93	108
"M54"	"N62"	"Dorsalgia"	"Hypertrophy of breast"	1	943	1178	2121
"I42"	"L05"	"Cardiomyopathy"	"Pilonidal cyst and sinus"	1	1	43	44
"E83"	"M79"	"Disorders of mineral metabolism"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	223	874	1097
"L97"	"M71"	"Non-pressure chronic ulcer of lower limb, NEC"	"Other bursopathies"	1	17	173	190
"M53"	"N80"	"Other and unspecified dorsopathies, not elsewhere classified"	"Endometriosis"	1	54	182	236
"O08"	"M41"	"Complications following ectopic and molar pregnancy"	"Scoliosis"	1	0	52	52
"M79"	"O48"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Late pregnancy"	1	50	858	908
"L97"	"I15"	"Non-pressure chronic ulcer of lower limb, NEC"	"Secondary hypertension"	1	206	381	587
"N18"	"K57"	"Chronic kidney disease (CKD)"	"Diverticular disease of intestine"	1	1104	2939	4043
"A41"	"F10"	"Other sepsis"	"Alcohol related disorders"	1	0	9014	9014
"F60"	"N63"	"Specific personality disorders"	"Unspecified lump in breast"	1	13	54	67
"K91"	"I10"	"Intraop and postproc comp and disorders of dgstv sys, NEC"	"Essential (primary) hypertension"	1	957	1659	2616
"N94"	"L05"	"Pain and oth cond assoc w fem gntl org and menstrual cycle"	"Pilonidal cyst and sinus"	1	30	106	136
"E41"	"K70"	"Nutritional marasmus"	"Alcoholic liver disease"	1	73	195	268
"I61"	"M20"	"Nontraumatic intracerebral hemorrhage"	"Acquired deformities of fingers and toes"	1	47	344	391
"B37"	"M75"	"Candidiasis"	"Shoulder lesions"	1	297	599	896
"E87"	"C32"	"Other disorders of fluid, electrolyte and acid-base balance"	"Malignant neoplasm of larynx"	1	63	270	333
"D62"	"E04"	"Acute posthemorrhagic anemia"	"Other nontoxic goiter"	1	59	156	215
"M85"	"M34"	"Other disorders of bone density and structure"	"Systemic sclerosis [scleroderma]"	1	35	116	151
"L98"	"N75"	"Oth disorders of skin, subcu, not elsewhere classified"	"Diseases of Bartholin's gland"	1	8	47	55
"A49"	"K90"	"Bacterial infection of unspecified site"	"Intestinal malabsorption"	1	51	134	185
"O99"	"F10"	"Oth maternal diseases classd elsw but compl preg/chldbrth"	"Alcohol related disorders"	1	0	2398	2398
"K42"	"J34"	"Umbilical hernia"	"Other and unspecified disorders of nose and nasal sinuses"	1	77	335	412
"J84"	"E04"	"Other interstitial pulmonary diseases"	"Other nontoxic goiter"	1	61	158	219
"J96"	"D21"	"Respiratory failure, not elsewhere classified"	"Other benign neoplasms of connective and other soft tissue"	1	31	183	214
"N19"	"E66"	"Unspecified kidney failure"	"Overweight and obesity"	1	394	1648	2042
"E27"	"M05"	"Other disorders of adrenal gland"	"Rheumatoid arthritis with rheumatoid factor"	1	17	103	120
"I48"	"M71"	"Atrial fibrillation and flutter"	"Other bursopathies"	1	231	953	1184
"M25"	"Q25"	"Other joint disorder, not elsewhere classified"	"Congenital malformations of great arteries"	1	5	39	44
"E83"	"G56"	"Disorders of mineral metabolism"	"Mononeuropathies of upper limb"	1	59	424	483
"M16"	"O00"	"Osteoarthritis of hip"	"Ectopic pregnancy"	1	0	37	37
"O90"	"O42"	"Complications of the puerperium, not elsewhere classified"	"Premature rupture of membranes"	1	1065	2584	3649
"I34"	"O62"	"Nonrheumatic mitral valve disorders"	"Abnormalities of forces of labor"	1	5	108	113
"K22"	"O62"	"Other diseases of esophagus"	"Abnormalities of forces of labor"	1	14	156	170
"E66"	"O71"	"Overweight and obesity"	"Other obstetric trauma"	1	2116	2848	4964
"A04"	"E04"	"Other bacterial intestinal infections"	"Other nontoxic goiter"	1	55	217	272
"D47"	"K80"	"Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss"	"Cholelithiasis"	1	56	384	440
"M16"	"I83"	"Osteoarthritis of hip"	"Varicose veins of lower extremities"	1	1318	2768	4086
"D12"	"D37"	"Benign neoplasm of colon, rectum, anus and anal canal"	"Neoplasm of uncrt behavior of oral cavity and dgstv organs"	1	459	822	1281
"I49"	"N63"	"Other cardiac arrhythmias"	"Unspecified lump in breast"	1	136	301	437
"K50"	"M62"	"Crohn's disease [regional enteritis]"	"Other disorders of muscle"	1	239	370	609
"C67"	"K44"	"Malignant neoplasm of bladder"	"Diaphragmatic hernia"	1	94	224	318
"C34"	"N89"	"Malignant neoplasm of bronchus and lung"	"Other noninflammatory disorders of vagina"	1	1	58	59
"J96"	"C21"	"Respiratory failure, not elsewhere classified"	"Malignant neoplasm of anus and anal canal"	1	33	89	122
